numero_processo,bloco,tipo,total_documentos,motivo_descarte,detalhe
02070.002011/2026-73,Monitoramento da fauna / Programa Monitora/Plano de Manejo.,CONSULTA,116,criterio_1_tipo_nao_tecnico,Tipo de processo 'CONSULTA' não está na lista de tipos técnicos aceitos.
02070.001141/2020-01,Monitoramento da fauna / Programa Monitora/Plano de Manejo.,GESTÃO DE UNIDADE DE CONSERVAÇÃO,117,criterio_1_tipo_nao_tecnico,Tipo de processo 'GESTÃO DE UNIDADE DE CONSERVAÇÃO' não está na lista de tipos técnicos aceitos.
02121.001045/2024-36,Monitoramento da fauna / Programa Monitora/Plano de Manejo.,GESTÃO DE UNIDADE DE CONSERVAÇÃO,59,criterio_1_tipo_nao_tecnico,Tipo de processo 'GESTÃO DE UNIDADE DE CONSERVAÇÃO' não está na lista de tipos técnicos aceitos.
02121.001137/2025-05,Monitoramento da fauna / Programa Monitora/Plano de Manejo.,GESTÃO DE UNIDADE DE CONSERVAÇÃO,67,criterio_1_tipo_nao_tecnico,Tipo de processo 'GESTÃO DE UNIDADE DE CONSERVAÇÃO' não está na lista de tipos técnicos aceitos.
02070.004782/2026-03,Monitoramento da fauna / Programa Monitora/Plano de Manejo.,CONSULTA,130,criterio_1_tipo_nao_tecnico,Tipo de processo 'CONSULTA' não está na lista de tipos técnicos aceitos.
02070.007875/2026-81,Monitoramento da fauna / Programa Monitora/Plano de Manejo.,PROTOCOLO,44,criterio_1_tipo_nao_tecnico,Tipo de processo 'PROTOCOLO' não está na lista de tipos técnicos aceitos.
02070.007468/2026-74,Monitoramento da fauna / Programa Monitora/Plano de Manejo.,CONSULTA,117,criterio_1_tipo_nao_tecnico,Tipo de processo 'CONSULTA' não está na lista de tipos técnicos aceitos.
02030.000090/2023-10,Monitoramento da fauna / Programa Monitora/Plano de Manejo.,CRIAÇÃO DE UNIDADE DE CONSERVAÇÃO,195,criterio_1_tipo_nao_tecnico,Tipo de processo 'CRIAÇÃO DE UNIDADE DE CONSERVAÇÃO' não está na lista de tipos técnicos aceitos.
02070.010300/2024-84,Monitoramento da fauna / Programa Monitora/Plano de Manejo.,CRIAÇÃO DE UNIDADE DE CONSERVAÇÃO,62,criterio_1_tipo_nao_tecnico,Tipo de processo 'CRIAÇÃO DE UNIDADE DE CONSERVAÇÃO' não está na lista de tipos técnicos aceitos.
02070.007450/2026-72,Monitoramento da fauna / Programa Monitora/Plano de Manejo.,CONSULTA,122,criterio_1_tipo_nao_tecnico,Tipo de processo 'CONSULTA' não está na lista de tipos técnicos aceitos.
02070.008396/2026-82,Monitoramento da fauna / Programa Monitora/Plano de Manejo.,PESQUISA,142,criterio_2_sem_doc_tecnico,"Tipo de processo aceito, mas nenhum título de documento no processo contém termo técnico (ou todos os termos técnicos encontrados coincidem com termos de tramitação administrativa)."
02129.000647/2023-15,Monitoramento da fauna / Programa Monitora/Plano de Manejo.,GESTÃO DE UNIDADE DE CONSERVAÇÃO,52,criterio_1_tipo_nao_tecnico,Tipo de processo 'GESTÃO DE UNIDADE DE CONSERVAÇÃO' não está na lista de tipos técnicos aceitos.
02070.007966/2026-17,Monitoramento da fauna / Programa Monitora/Plano de Manejo.,GESTÃO DE UNIDADE DE CONSERVAÇÃO,42,criterio_1_tipo_nao_tecnico,Tipo de processo 'GESTÃO DE UNIDADE DE CONSERVAÇÃO' não está na lista de tipos técnicos aceitos.
02070.008913/2026-13,Monitoramento da fauna / Programa Monitora/Plano de Manejo.,CONSULTA,115,criterio_1_tipo_nao_tecnico,Tipo de processo 'CONSULTA' não está na lista de tipos técnicos aceitos.
02127.000781/2026-89,Monitoramento da fauna / Programa Monitora/Plano de Manejo.,GESTÃO DE UNIDADE DE CONSERVAÇÃO,41,criterio_1_tipo_nao_tecnico,Tipo de processo 'GESTÃO DE UNIDADE DE CONSERVAÇÃO' não está na lista de tipos técnicos aceitos.
02070.011443/2017-84,Monitoramento da fauna / Programa Monitora/Plano de Manejo.,GESTÃO DE UNIDADE DE CONSERVAÇÃO,81,criterio_1_tipo_nao_tecnico,Tipo de processo 'GESTÃO DE UNIDADE DE CONSERVAÇÃO' não está na lista de tipos técnicos aceitos.
02070.013631/2026-38,Monitoramento da fauna / Programa Monitora/Plano de Manejo.,COMUNICAÇÃO,21,criterio_1_tipo_nao_tecnico,Tipo de processo 'COMUNICAÇÃO' não está na lista de tipos técnicos aceitos.
02071.000087/2020-69,Guias/Publicações,AUTORIZAÇÃO,17,criterio_1_tipo_nao_tecnico,Tipo de processo 'AUTORIZAÇÃO' não está na lista de tipos técnicos aceitos.
02070.012542/2023-21,Guias/Publicações,SOLICITAÇÃO,214,criterio_1_tipo_nao_tecnico,Tipo de processo 'SOLICITAÇÃO' não está na lista de tipos técnicos aceitos.
02070.018842/2025-86,Guias/Publicações,SOLICITAÇÃO,40,criterio_1_tipo_nao_tecnico,Tipo de processo 'SOLICITAÇÃO' não está na lista de tipos técnicos aceitos.
02071.000064/2025-69,Guias/Publicações,MATERIAL GRÁFICO,18,criterio_1_tipo_nao_tecnico,Tipo de processo 'MATERIAL GRÁFICO' não está na lista de tipos técnicos aceitos.
02070.006296/2020-26,Guias/Publicações,DELEGAÇÃO DE COMPETÊNCIA,376,criterio_1_tipo_nao_tecnico,Tipo de processo 'DELEGAÇÃO DE COMPETÊNCIA' não está na lista de tipos técnicos aceitos.
02070.000627/2026-18,Guias/Publicações,PROTOCOLO,103,criterio_1_tipo_nao_tecnico,Tipo de processo 'PROTOCOLO' não está na lista de tipos técnicos aceitos.
02070.007856/2026-55,Guias/Publicações,PUBLICAÇÃO,40,criterio_2_sem_doc_tecnico,"Tipo de processo aceito, mas nenhum título de documento no processo contém termo técnico (ou todos os termos técnicos encontrados coincidem com termos de tramitação administrativa)."
02071.000010/2016-11,Processo de Avaliação do Estado de Conservação da Fauna,FAUNA,7,criterio_2_sem_doc_tecnico,"Tipo de processo aceito, mas nenhum título de documento no processo contém termo técnico (ou todos os termos técnicos encontrados coincidem com termos de tramitação administrativa)."
02071.000018/2017-50,Processo de Avaliação do Estado de Conservação da Fauna,CONVITE,1,criterio_1_tipo_nao_tecnico,Tipo de processo 'CONVITE' não está na lista de tipos técnicos aceitos.
02071.000019/2017-02,Processo de Avaliação do Estado de Conservação da Fauna,FAUNA,6,criterio_2_sem_doc_tecnico,"Tipo de processo aceito, mas nenhum título de documento no processo contém termo técnico (ou todos os termos técnicos encontrados coincidem com termos de tramitação administrativa)."
02071.000125/2017-88,Processo de Avaliação do Estado de Conservação da Fauna,DIÁRIAS E PASSAGENS,89,criterio_1_tipo_nao_tecnico,Tipo de processo 'DIÁRIAS E PASSAGENS' não está na lista de tipos técnicos aceitos.
02176.000099/2017-10,Processo de Avaliação do Estado de Conservação da Fauna,ESPÉCIES AMEAÇADAS,39,criterio_2_sem_doc_tecnico,"Tipo de processo aceito, mas nenhum título de documento no processo contém termo técnico (ou todos os termos técnicos encontrados coincidem com termos de tramitação administrativa)."
02176.000115/2017-74,Processo de Avaliação do Estado de Conservação da Fauna,GESTÃO PÚBLICA,16,criterio_1_tipo_nao_tecnico,Tipo de processo 'GESTÃO PÚBLICA' não está na lista de tipos técnicos aceitos.
02070.012689/2022-31,Processo de Avaliação do Estado de Conservação da Fauna,ORDEM DE SERVIÇO,22,criterio_1_tipo_nao_tecnico,Tipo de processo 'ORDEM DE SERVIÇO' não está na lista de tipos técnicos aceitos.
02071.000008/2023-62,Processo de Avaliação do Estado de Conservação da Fauna,PROCESSO SELETIVO,12,criterio_1_tipo_nao_tecnico,Tipo de processo 'PROCESSO SELETIVO' não está na lista de tipos técnicos aceitos.
02070.010145/2026-68,Processo de Avaliação do Estado de Conservação da Fauna,REUNIÃO,25,criterio_1_tipo_nao_tecnico,Tipo de processo 'REUNIÃO' não está na lista de tipos técnicos aceitos.
